"stock","model","common.name","species","family","order","wg","area","ecoregion","productivity","Year","FFmsy","BBmsy","BBtri","BBlim","ABImsy","lBBmsy","uBBmsy"
"anf.27.3a46","SS3","Anglerfish","Lophius budegassa","Lophiidae","Lophiiformes","WGCSE","North Sea","Greater North Sea","Low",1970,0.0588973008341782,3.70874225022255,6.0532699124967,9.09757968161732,1.76056835331747,4.63592781277819,3.09061854185213
"anf.27.3a46","SS3","Anglerfish","Lophius budegassa","Lophiidae","Lophiiformes","WGCSE","North Sea","Greater North Sea","Low",1971,0.0614299983827079,3.71196441699341,6.05852901217286,9.10548368706381,1.7631879264484,4.63995552124177,3.09330368082784
"anf.27.3a46","SS3","Anglerfish","Lophius budegassa","Lophiidae","Lophiiformes","WGCSE","North Sea","Greater North Sea","Low",1972,0.0933595969402291,3.71501424635607,6.06350682919913,9.11296494722429,1.76484879807865,4.64376780794509,3.09584520529672
"anf.27.3a46","SS3","Anglerfish","Lophius budegassa","Lophiidae","Lophiiformes","WGCSE","North Sea","Greater North Sea","Low",1973,0.209331246008532,3.70795644597693,6.05198735229806,9.09565209639937,1.76013357953975,4.63494555747116,3.08996370498077
"anf.27.3a46","SS3","Anglerfish","Lophius budegassa","Lophiidae","Lophiiformes","WGCSE","North Sea","Greater North Sea","Low",1974,0.135764715222725,3.66200724686668,5.97699079397409,8.98293827807272,1.7331964890415,4.57750905858335,3.05167270572223
"anf.27.3a46","SS3","Anglerfish","Lophius budegassa","Lophiidae","Lophiiformes","WGCSE","North Sea","Greater North Sea","Low",1975,0.145340758780483,3.63515201669168,5.9331586951536,8.91706214543757,1.71621491358144,4.5439400208646,3.02929334724307
"anf.27.3a46","SS3","Anglerfish","Lophius budegassa","Lophiidae","Lophiiformes","WGCSE","North Sea","Greater North Sea","Low",1976,0.158906400348221,3.60329696196038,5.88116607033467,8.83892139606009,1.70287226625775,4.50412120245047,3.00274746830032
"anf.27.3a46","SS3","Anglerfish","Lophius budegassa","Lophiidae","Lophiiformes","WGCSE","North Sea","Greater North Sea","Low",1977,0.155374747750413,3.56625726362454,5.82071126480299,8.74806266707369,1.69249900657617,4.45782157953067,2.97188105302045
"anf.27.3a46","SS3","Anglerfish","Lophius budegassa","Lophiidae","Lophiiformes","WGCSE","North Sea","Greater North Sea","Low",1978,0.145186480729136,3.53064767540351,5.76259063132899,8.66071201167267,1.68557120419514,4.41330959425438,2.94220639616959
"anf.27.3a46","SS3","Anglerfish","Lophius budegassa","Lophiidae","Lophiiformes","WGCSE","North Sea","Greater North Sea","Low",1979,0.144598802976695,3.50012399464213,5.71277102513759,8.58583713518693,1.68240047160397,4.37515499330266,2.91676999553511
"anf.27.3a46","SS3","Anglerfish","Lophius budegassa","Lophiidae","Lophiiformes","WGCSE","North Sea","Greater North Sea","Low",1980,0.151314055356435,3.4732347387681,5.6688833908481,8.51987753719147,1.681036606534,4.34154342346012,2.89436228230675
"anf.27.3a46","SS3","Anglerfish","Lophius budegassa","Lophiidae","Lophiiformes","WGCSE","North Sea","Greater North Sea","Low",1981,0.100163277406142,3.44850948224354,5.6285277550824,8.45922624998836,1.67953313364026,4.31063685280442,2.87375790186962
"anf.27.3a46","SS3","Anglerfish","Lophius budegassa","Lophiidae","Lophiiformes","WGCSE","North Sea","Greater North Sea","Low",1982,0.126171931934454,3.44373560018013,5.6207360039413,8.44751587230982,2.17705510948374,4.30466950022517,2.86977966681678
"anf.27.3a46","SS3","Anglerfish","Lophius budegassa","Lophiidae","Lophiiformes","WGCSE","North Sea","Greater North Sea","Low",1983,0.15277245550484,3.43650420655814,5.60893319466416,8.42977719562467,2.57875368176198,4.29563025819767,2.86375350546512
"anf.27.3a46","SS3","Anglerfish","Lophius budegassa","Lophiidae","Lophiiformes","WGCSE","North Sea","Greater North Sea","Low",1984,0.208436659268635,3.42416358187622,5.58879129019939,8.39950552701304,2.98688410812033,4.28020447734528,2.85346965156352
"anf.27.3a46","SS3","Anglerfish","Lophius budegassa","Lophiidae","Lophiiformes","WGCSE","North Sea","Greater North Sea","Low",1985,0.254856012671762,3.3925586120565,5.5372068445875,8.32197823827983,3.53570756146037,4.24069826507062,2.82713217671375
"anf.27.3a46","SS3","Anglerfish","Lophius budegassa","Lophiidae","Lophiiformes","WGCSE","North Sea","Greater North Sea","Low",1986,0.303393256631519,3.33337298058379,5.44060627812205,8.17679532666135,3.34492355537875,4.16671622572974,2.77781081715316
"anf.27.3a46","SS3","Anglerfish","Lophius budegassa","Lophiidae","Lophiiformes","WGCSE","North Sea","Greater North Sea","Low",1987,0.445807786488933,3.23025463042778,5.2723003770074,7.92384504220173,2.81101433727052,4.03781828803473,2.69187885868982
"anf.27.3a46","SS3","Anglerfish","Lophius budegassa","Lophiidae","Lophiiformes","WGCSE","North Sea","Greater North Sea","Low",1988,0.605010786959253,3.04649937474102,4.97238194497156,7.4730916687566,2.29029119742546,3.80812421842627,2.53874947895085
"anf.27.3a46","SS3","Anglerfish","Lophius budegassa","Lophiidae","Lophiiformes","WGCSE","North Sea","Greater North Sea","Low",1989,0.618043484566162,2.78558601604691,4.54652895293451,6.83306874169134,1.98914413462665,3.48198252005864,2.32132168003909
"anf.27.3a46","SS3","Anglerfish","Lophius budegassa","Lophiidae","Lophiiformes","WGCSE","North Sea","Greater North Sea","Low",1990,0.718524232060158,2.50064073945996,4.08145196642558,6.13409529361882,1.69140725053074,3.12580092432495,2.0838672828833
"anf.27.3a46","SS3","Anglerfish","Lophius budegassa","Lophiidae","Lophiiformes","WGCSE","North Sea","Greater North Sea","Low",1991,0.771118766853032,2.19622813441578,3.58460113701351,5.38736830542979,1.19415914907277,2.74528516801973,1.83019011201315
"anf.27.3a46","SS3","Anglerfish","Lophius budegassa","Lophiidae","Lophiiformes","WGCSE","North Sea","Greater North Sea","Low",1992,1.05893711361296,1.9016396675489,3.10378489723658,4.66474002074752,1.03642471917701,2.37704958443612,1.58469972295741
"anf.27.3a46","SS3","Anglerfish","Lophius budegassa","Lophiidae","Lophiiformes","WGCSE","North Sea","Greater North Sea","Low",1993,1.10776332075287,1.60267424774427,2.61582475914079,3.93137502927163,0.804851568513256,2.00334280968034,1.33556187312023
"anf.27.3a46","SS3","Anglerfish","Lophius budegassa","Lophiidae","Lophiiformes","WGCSE","North Sea","Greater North Sea","Low",1994,1.1244585921807,1.34118997917752,2.18903994943573,3.28995165490995,0.689475821257564,1.6764874739719,1.11765831598126
"anf.27.3a46","SS3","Anglerfish","Lophius budegassa","Lophiidae","Lophiiformes","WGCSE","North Sea","Greater North Sea","Low",1995,1.1698252267835,1.12946854027806,1.84347616272511,2.7705969705614,0.633857334428498,1.41183567534758,0.941223783565053
"anf.27.3a46","SS3","Anglerfish","Lophius budegassa","Lophiidae","Lophiiformes","WGCSE","North Sea","Greater North Sea","Low",1996,1.51963150482321,0.959079322559377,1.56537327623617,2.35263061417976,1.01523589334419,1.19884915319922,0.799232768799481
"anf.27.3a46","SS3","Anglerfish","Lophius budegassa","Lophiidae","Lophiiformes","WGCSE","North Sea","Greater North Sea","Low",1997,1.77951250648904,0.808268294805288,1.3192251766421,1.98268974223669,0.878940081641179,1.01033536850661,0.67355691233774
"anf.27.3a46","SS3","Anglerfish","Lophius budegassa","Lophiidae","Lophiiformes","WGCSE","North Sea","Greater North Sea","Low",1998,1.65178032932888,0.68453006091136,1.11726427515032,1.67915868869824,0.808730947493724,0.8556625761392,0.570441717426134
"anf.27.3a46","SS3","Anglerfish","Lophius budegassa","Lophiidae","Lophiiformes","WGCSE","North Sea","Greater North Sea","Low",1999,1.51274849128213,0.59495138513244,0.971057322412828,1.45942135304932,0.736409864800105,0.74368923141555,0.4957928209437
